Date,SPY,SOXX,SOYB,CARZ,AGG
1/4/2016,201.020004,88.800003,17.23,35.23,107.970001
1/5/2016,201.360001,87.959999,17.190001,35.02,108.019997
1/6/2016,198.820007,84.919998,17.26,33.830002,108.43
1/7/2016,194.050003,82.540001,17.32,32.950001,108.419998
1/8/2016,191.919998,81.349998,17.33,32.75,108.660004
1/11/2016,192.110001,81.629997,17.25,32.720001,108.349998
1/12/2016,193.660004,82.309998,17.49,33.18,108.589996
1/13/2016,188.830002,79.690002,17.530001,32.610001,108.839996
1/14/2016,191.929993,81.330002,17.52,32.560001,108.800003
1/15/2016,187.809998,77.660004,17.450001,31.690001,108.93
1/19/2016,188.059998,77.790001,17.51,32.02,108.82
1/20/2016,185.649994,78.300003,17.440001,31.08,108.910004
1/21/2016,186.690002,79.459999,17.51,31.15,108.760002
1/22/2016,190.520004,80.910004,17.459999,31.959999,108.839996
1/25/2016,187.639999,79.790001,17.540001,31.4,108.779999
1/26/2016,190.199997,80.529999,17.51,31.82,108.919998
1/27/2016,188.130005,79.610001,17.65,31.65,108.940002
1/28/2016,189.110001,79.43,17.379999,31.91,109.029999
1/29/2016,193.720001,83.029999,17.43,32.130001,109.349998
2/1/2016,193.649994,83.400002,17.51,32.130001,108.989998
2/2/2016,190.160004,80.650002,17.68,31.219999,109.32
2/3/2016,191.300003,80.839996,17.559999,30.75,109.309998
2/4/2016,191.600006,82.239998,17.52,30.68,109.419998
2/5/2016,187.949997,79.419998,17.35,30.09,109.32
2/8/2016,185.419998,77.419998,17.23,29.459999,109.739998
2/9/2016,185.429993,76.980003,17.200001,29.08,109.730003
2/10/2016,185.270004,76.379997,17.26,29.219999,110
2/11/2016,182.860001,75.790001,17.48,28.620001,110.07
2/12/2016,186.630005,77.449997,17.450001,28.620001,109.769997
2/16/2016,189.779999,80.169998,17.5,29.84,109.5
2/17/2016,192.880005,82.080002,17.59,30.65,109.440002
2/18/2016,192.089996,81.690002,17.57,30.75,109.769997
2/19/2016,192,82.050003,17.540001,30.280001,109.790001
2/22/2016,194.779999,83.339996,17.6,30.77,109.82
2/23/2016,192.320007,82.029999,17.370001,30.25,109.839996
2/24/2016,193.199997,83.120003,17.35,30.110001,109.879997
2/25/2016,195.539993,84.129997,17.219999,30.1,110.160004
2/26/2016,195.089996,84.669998,17.139999,30.32,109.959999
2/29/2016,193.559998,84.470001,17.15,30.68,110.089996
3/1/2016,198.110001,86.75,17.059999,31.24,109.540001
3/2/2016,199,87.290001,17.120001,31.66,109.419998
3/3/2016,199.779999,87.389999,17.18,32.189999,109.550003
3/4/2016,200.429993,88.290001,17.48,32.830002,109.379997
3/7/2016,200.589996,88.690002,17.51,32.75,109.349998
3/8/2016,198.399994,86.68,17.51,32,109.620003
3/9/2016,199.380005,87.290001,17.52,32,109.57
3/10/2016,199.539993,87.730003,17.629999,31.83,109.620003
3/11/2016,202.759995,89.400002,17.74,32.830002,109.419998
3/14/2016,202.5,89.190002,17.790001,32.849998,109.480003
3/15/2016,202.169998,88.959999,17.690001,32.439999,109.379997
3/16/2016,203.339996,89.760002,17.76,32.959999,109.849998
3/17/2016,204.630005,90.379997,17.799999,33.130001,110.080002
3/18/2016,204.380005,91.57,17.809999,33.220001,110.169998
3/21/2016,204.669998,91.690002,17.9,33.419998,109.93
3/22/2016,204.559998,91.669998,18.01,33.459999,109.860001
3/23/2016,203.210007,90.199997,17.879999,33.09,110.099998
3/24/2016,203.119995,90.139999,18.040001,32.52,110.110001
3/28/2016,203.240005,90.089996,18.02,32.98,110.190002
3/29/2016,205.119995,91.330002,18.129999,33.349998,110.519997
3/30/2016,206.020004,92.129997,17.969999,33.529999,110.480003
3/31/2016,205.520004,91.620003,18.02,33.529999,110.830002
4/1/2016,206.919998,92.25,18.219999,32.639999,110.510002
4/4/2016,206.25,91.43,18.129999,32.169998,110.620003
4/5/2016,204.190002,90.919998,17.959999,31.309999,110.769997
4/6/2016,206.419998,91.790001,18.040001,31.559999,110.75
4/7/2016,203.949997,90.389999,17.98,31.049999,110.989998
4/8/2016,204.5,90.809998,18.15,31.59,110.879997
4/11/2016,204.020004,90.790001,18.389999,31.77,110.959999
4/12/2016,205.919998,90.660004,18.51,32.23,110.779999
4/13/2016,208,92.690002,18.84,33.119999,110.830002
4/14/2016,208.009995,91.980003,18.68,33.119999,110.639999
4/15/2016,207.779999,91.190002,18.83,32.700001,110.949997
4/18/2016,209.240005,91.199997,18.790001,33.18,110.940002
4/19/2016,209.899994,90.089996,19.25,33.900002,110.93
4/20/2016,210.100006,90.949997,19.389999,34,110.660004
4/21/2016,208.970001,90.410004,19.42,34.02,110.510002
4/22/2016,208.970001,90.57,19.1,33.900002,110.519997
4/25/2016,208.610001,90.029999,19.360001,33.75,110.400002
4/26/2016,208.919998,91.230003,19.58,33.919998,110.349998
4/27/2016,209.350006,92.160004,19.440001,33.889999,110.68
4/28/2016,207.449997,89.75,19.5,33.240002,110.900002
4/29/2016,206.330002,87.379997,19.52,32.689999,110.889999
5/2/2016,207.970001,88.040001,19.77,32.970001,110.610001
5/3/2016,206.160004,87.040001,19.469999,32.32,110.809998
5/4/2016,205.009995,86.050003,19.620001,31.77,110.860001
5/5/2016,204.970001,86.260002,19.360001,31.610001,111.139999
5/6/2016,205.720001,86.379997,19.74,31.969999,110.970001
5/9/2016,205.889999,86.269997,19.559999,31.92,111.040001
5/10/2016,208.449997,87.290001,20.360001,32.709999,111.089996
5/11/2016,206.5,87.080002,20.299999,32.290001,111.089996
5/12/2016,206.559998,85.519997,20.120001,32.310001,110.989998
5/13/2016,204.759995,85.830002,20.01,31.82,111.199997
5/16/2016,206.779999,87.209999,20.02,32.040001,111.010002
5/17/2016,204.850006,86.639999,20.26,31.82,110.860001
5/18/2016,204.910004,87.989998,20.07,31.469999,110.400002
5/19/2016,204.199997,87.5,19.99,31.440001,110.470001
5/20/2016,205.490005,90.150002,19.889999,31.639999,110.540001
5/23/2016,205.210007,90.779999,19.639999,31.57,110.519997
5/24/2016,207.869995,92.970001,19.57,32.080002,110.459999
5/25/2016,209.279999,93.519997,19.91,32.450001,110.480003
