Date,The We Company - SR GLBL 144A 25 - Bond Price
2018-04-26,99.625
2018-04-27,97.5
2018-04-30,97.125
2018-05-01,95.625
2018-05-02,96
2018-05-03,95.375
2018-05-04,95
2018-05-07,95
2018-05-08,94
2018-05-09,92.75
2018-05-10,93.625
2018-05-11,94.313
2018-05-14,94.24
2018-05-15,93.75
2018-05-16,93.5
2018-05-17,94.5
2018-05-18,95.5
2018-05-21,95.5
2018-05-22,95.011
2018-05-23,94
2018-05-24,94.25
2018-05-25,94.25
2018-05-29,94.25
2018-05-30,94.375
2018-05-31,94.139
2018-06-01,94.25
2018-06-04,94.5
2018-06-05,95
2018-06-06,95.5
2018-06-07,95.25
2018-06-08,95.625
2018-06-11,96
2018-06-12,96
2018-06-13,96.125
2018-06-14,98.5
2018-06-15,98.25
2018-06-18,98.74
2018-06-19,97
2018-06-20,97.25
2018-06-21,97.48
2018-06-22,97.288
2018-06-25,97.447
2018-06-26,96.375
2018-06-27,96.5
2018-06-28,95.25
2018-06-29,95.75
2018-07-02,95.25
2018-07-03,95.25
2018-07-05,95.25
2018-07-06,96
2018-07-09,95.5
2018-07-10,96.188
2018-07-11,96.25
2018-07-12,96.5
2018-07-13,97.75
2018-07-16,97.25
2018-07-17,97
2018-07-18,97
2018-07-19,96.5
2018-07-20,96
2018-07-23,96.875
2018-07-24,97
2018-07-25,96.5
2018-07-26,98
2018-07-27,97.75
2018-07-30,97.5
2018-07-31,97.25
2018-08-01,97.375
2018-08-02,97.125
2018-08-03,98.25
2018-08-06,98.75
2018-08-07,98
2018-08-08,99
2018-08-09,98.5
2018-08-10,100.75
2018-08-13,99.97
2018-08-14,99.625
2018-08-15,98.5
2018-08-16,99
2018-08-17,99
2018-08-20,99
2018-08-21,98.5
2018-08-22,98.5
2018-08-23,98
2018-08-24,98.313
2018-08-27,98
2018-08-28,98.25
2018-08-29,97.75
2018-08-30,96.77
2018-08-31,96.89
2018-09-04,97
2018-09-05,96.5
2018-09-06,96.5
2018-09-07,96
2018-09-10,96
2018-09-11,96.25
2018-09-12,96.25
2018-09-13,96.563
2018-09-14,96.5
2018-09-17,96.75
2018-09-18,96.75
2018-09-19,97.375
2018-09-20,97.25
2018-09-21,97.25
2018-09-24,97
2018-09-25,97.5
2018-09-26,97.5
2018-09-27,97.5
2018-09-28,96.913
2018-10-01,97
2018-10-02,97
2018-10-03,97.1
2018-10-04,96.25
2018-10-05,95.5
2018-10-08,95.5
2018-10-09,95
2018-10-10,97
2018-10-11,97.375
2018-10-12,97.75
2018-10-15,96.625
2018-10-16,96.24
2018-10-17,96
2018-10-18,96.375
2018-10-19,96.375
2018-10-22,95
2018-10-23,93.875
2018-10-24,93.25
2018-10-25,93
2018-10-26,92.25
2018-10-29,92.25
2018-10-30,92
2018-10-31,91.75
2018-11-01,92.75
2018-11-02,92.5
2018-11-05,92.25
2018-11-06,92.5
2018-11-07,93.25
2018-11-08,94
2018-11-09,93.5
2018-11-12,93.5
2018-11-13,94.5
2018-11-14,95
2018-11-15,93
2018-11-16,91.5
2018-11-19,91.75
2018-11-20,90.25
2018-11-21,91.75
2018-11-23,91.5
2018-11-26,91.75
2018-11-27,92
2018-11-28,93
2018-11-29,92.75
2018-11-30,93.5
2018-12-03,94
2018-12-04,94
2018-12-06,92.25
2018-12-07,92.719
2018-12-10,91.75
2018-12-11,92.5
2018-12-12,92.25
2018-12-13,92
2018-12-14,92.75
2018-12-17,91
2018-12-18,90.75
2018-12-19,89.5
2018-12-20,89.5
2018-12-21,89.5
2018-12-24,89.5
2018-12-26,88
2018-12-27,87.5
2018-12-28,87
2018-12-31,88.75
2019-01-02,88
2019-01-03,87.875
2019-01-04,88.75
2019-01-07,85.5
2019-01-08,90.125
2019-01-09,89.875
2019-01-10,88.875
2019-01-11,88.812
2019-01-14,88.65
2019-01-15,87.75
2019-01-16,86.25
2019-01-17,86.5
2019-01-18,87.5
2019-01-22,89
2019-01-23,88.75
2019-01-24,89
2019-01-25,89
2019-01-28,88.25
2019-01-29,88.5
2019-01-30,88.982
2019-01-31,90.512
2019-02-01,90.03
2019-02-04,90
